id,writer,,title,dateline,day,period,place
109-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-13,,
110-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-13,,
111-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",,1747-04-13,,
112-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-04-13,,
113-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-04-13,,
114-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-04-13,,
115-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, April 14",1747-04-14,,
116-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, Apr. 14",1747-04-14,,
117-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, Apr. 14",1747-04-14,,
118-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-14,,
119-000,annabella-howe,,"Miss Howe, to Mis Clarissa Harlowe","Saturday, April 15",1747-04-15,,
120-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Sat. Afternoon,1747-04-15,afternoon,
121-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Saturday Evening,1747-04-15,evening,
122-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Night, April 16",1747-04-16,night,
123-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-04-16,,
124-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-04-16,,
125-000,clarissa-harlowe,,Miss Clarissa Harlowe,,1747-04-16,,
126-000,clarissa-harlowe,,Miss Clarissa Harlowe,"Monday Morning, April 17",1747-04-17,morning,
127-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sat., Sunday, Monday",1747-04-15,,
128-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Tuesday, April 18",1747-04-18,,
129-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wedn. Morning, April 19",1747-04-19,morning,
130-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday, April 20",1747-04-20,,
130-001,mrs-doleman,,,"Tuesday Night, April 18.",1747-04-18,,
131-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday, April 20",1747-04-20,,
132-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wednesday, April 19",1747-04-19,,
