id,writer,,title,dateline,day,period,place
451-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",Friday Morn. Sept. 1,1747-09-01,morning,
452-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Friday, Sept. 1",1747-09-01,,
453-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Uxbridge, Sept. 1, Twelve o’clock at Night",1747-09-01,night,Uxbridge
454-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Sat. Morning, Sept. 2",1747-09-02,morning,
455-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Tuesday, Aug. 29",1747-08-29,,
456-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday, August 31",1747-08-31,,
457-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Sunday Evening, Sept. 3",1747-09-03,evening,
458-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Saturday, Sept. 2",1747-09-02,,
459-000,judith-norton,,"Mrs. Norton, to Miss Clarissa Harlowe","Thursday, Aug. 31",1747-08-31,,
460-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Monday, Sept. 4",1747-09-04,,
461-000,,,"Dr. H. to James Harlowe, Senior, Esq.","London, Sept. 4",1747-09-04,,London
462-000,john-belford,,"Mr. Belford, to William Morden, Esq.","London, Sept. 4",1747-09-04,,London
463-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Uxbridge, Tuesday Morn, Between 4 and 5",1747-09-05,morning,Uxbridge
464-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",Tues. Sept. 9 in the Morn. at Mr. Smith’s,1747-09-05,morning,
465-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Norton",,1747-09-05,,
466-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wed. Morn. Sept. 6, half an hour after Three",1747-09-06,morning,
467-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Tueday, Sept. 5, Six o’clock",1747-09-05,morning,
468-000,elias-brand,,"Mr. Brand, to Mr. John Walton","Sat. Night, Sept. 2",1747-09-02,night,
469-000,elias-brand,,"Mr. Brand, to John Harlowe, Esq.","Sat. Night, Sept. 2",1747-09-02,night,
470-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Wedn. Morn. Sept. 6,1747-09-06,morning,
471-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Wedn. Morn. Eight o’clock, (6 Sept.)",1747-09-06,morning,
472-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Kensington, Wednesday Noon",1747-09-06,morning,Kensington
473-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Wednesday, Eleven o’clock",1747-09-06,morning,
473-001,annabella-howe,,,"Tuesday, Sept. 5 .",1747-09-05,,
473-002,clarissa-harlowe,,,Wedn. Near Three o’clock.,1747-09-06,afternoon,
474-000,john-belford,,Mr. Belford,,1747-09-06,,
475-000,john-belford,,Mr. Belford,"Soho, Six o’clock, Sept. 7",1747-09-07,morning,Soho
476-000,john-belford,,Mr. Belford,,1747-09-07,,
477-000,john-belford,,"Mr. Belford, to Richard Mowbray, Esq.",Thursday Afternoon,1747-09-07,afternoon,
478-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-09-07,,
479-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Seven o’clock, Thursday Evening, Sept. 7",1747-09-07,evening,
480-000,richard-mowbray,,"Mr. Mowbray, to John Belford, Esq.","Uxbridge, Sept. 7, Between Eleven and Twelve at Night",1747-09-07,night,Uxbridge
481-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",Thursday Night,1747-09-07,night,
482-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Nine, Friday Morn",1747-09-08,morning,
483-000,judith-norton,,"Mrs. Norton, to Miss Clarissa Harlowe","Wednesday, Sept. 6",1747-09-06,,
484-000,arabella-harlowe,,"Miss Arab. Harlowe, to Miss Cl. Harlowe",Wedn. Morn. Sept. 6,1747-09-06,morning,
485-000,john-harlowe,,"To His Dear Niece, Miss Clarissa Harlowe","Wednesday, Sept. 6",1747-09-06,,
486-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Friday Night, Sept. 8, Past Ten",1747-09-08,night,
486-001,clarissa-harlowe,,,"Sunday Evening, Sept. 3.",1747-09-03,evening,
486-002,william-morden,,,Friday Morn. Sept. 8.,1747-09-08,morning,
487-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",Sat. Ten o’clock,1747-09-09,morning,
488-000,clarissa-harlowe,,"To the Ever-Honoured Jas. Harlowe, Sen. Esq.",,1747-09-03,,
489-000,clarissa-harlowe,,To the Ever-Honoured Mrs. Harlowe,,1747-09-03,,
490-000,clarissa-harlowe,,"To James Harlowe, Jun. Esq.",,1747-09-03,,
491-000,clarissa-harlowe,,To Miss Harlowe,,1747-09-03,,
492-000,clarissa-harlowe,,"To John and Antony Harlowe, Esqrs",,1747-09-03,,
493-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Sat. Afternoon, Sept. 9",1747-09-09,afternoon,
494-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",Sat. Night,1747-09-09,,
494-001,james-harlowe-jr,,,"Saturday, Sept. 9.",1747-09-09,,
495-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Sunday Morn. Eight o’clock, Sept. 10",1747-09-10,morning,
496-000,richard-mowbray,,"Mr. Mowbray, to John Belford, Esq.","Uxbridge, Sunday Morn. Nine o’clock",1747-09-10,morning,Uxbridge
497-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Uxbridge, Sat. Sept. 9",1747-09-09,,Uxbridge
498-000,john-belford,,"Mr. Belford, to Richard Mowbray, Esq.","Sunday, Sept. 10. Four in the Afternoon",1747-09-10,afternoon,
499-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",,1747-09-10,,
500-000,william-morden,,"Colonel Morden, to John Belford, Esq.","Sunday Night, Sept. 10",1747-09-10,night,
501-000,william-morden,,Colonel Morden,,1747-09-10,,
502-000,william-morden,,Colonel Morden,"Monday Afternoon, Sept. 11",1747-09-11,,
503-000,william-morden,,Colonel Morden,"Tuesday Morning, Sept. 12",1747-09-12,morning,
504-000,william-morden,,Colonel Morden,"Thursday Night, Sept. 14",1747-09-14,night,
505-000,john-belford,,"Mr. Belford, to William Morden, Esq.","Saturday, Sept. 16",1747-09-16,,
506-000,james-harlowe-sr,,"Mr. James Harlowe, to John Belford, Esq. Harlowe-Place,","Friday Night, Sept. 15",1747-09-15,night,
507-000,john-belford,,"Mr. Belford, to Mr. James Harlowe, Jun. Esq.","Saturday, Sept. 16",1747-09-16,,
508-000,william-morden,,"Colonel Morden, to John Belford, Esq.",Sat. Sept. 16,1747-09-16,,
509-000,john-belford,,"Mr. Belford, to the Right Hon. Lord M.","London, Sept. 14",1747-09-14,,London
510-000,charlotte-montague,,"Miss Montague, to John Belford, Esq. M. Hall,","Friday, Sept. 15",1747-09-15,,
511-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","M. Hall, Thursday, Sept. 14",1747-09-14,,M. Hall
512-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wednesday, Sept. 20",1747-09-20,,
513-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-09-21,,
514-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Friday, Sept. 22",1747-09-22,,
515-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, Sept. 26",1747-09-26,,
516-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-09-21,,
517-000,john-belford,,"Mr. Belford, to Colonel Morden","Thursday, Sept. 21",1747-09-21,,
518-000,clarissa-harlowe,,To Col. Morden,,1747-09-03,,
519-000,william-morden,,"Colonel Morden, to John Belford, Esq.","Saturday, Sept. 23",1747-09-23,,
520-000,william-morden,,"Colonel Morden, to John Belford, Esq.","Tuesday, Sept. 26",1747-09-26,,
521-000,john-belford,,"Mr. Belford, to Miss Howe","Thursday, Sept. 28",1747-09-28,,
522-000,annabella-howe,,"Miss Howe, to John Belford, Esq.","Saturday, Sept. 30",1747-09-30,,
523-000,annabella-howe,,"Miss Howe, to John Belford, Esq.","Monday, Oct. 2",1747-10-02,,
524-000,john-belford,,"Mr. Belford, to Miss Howe","Thursday Night, Oct. 5",1747-10-05,night,
525-000,lord-montague,,"Lord M. to John Belford, Esq. M. Hall,","Friday, Sept. 29",1747-09-29,,
526-000,john-belford,,"Mr. Belford, to Lord M.","London, Tuesday Night, Oct. 3",1747-10-03,night,London
527-000,john-belford,,"Mr. Belford, to Lord M.","Wedn. Night, Oct. 4",1747-10-04,night,
528-000,john-belford,,"Mr. Belford, to Lord M.","Thursday Morning, Oct. 5",1747-10-05,morning,
529-000,annabella-howe,,"Miss Howe, to John Belford, Esq.","Thursday, Oct. 12",1747-10-12,,
530-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Paris, Oct. 14",1747-10-14,,Paris
531-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","London, Oct. 25",1747-10-25,,London
532-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Paris, Oct. 16 / 27",1747-10-16,,Paris
533-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","London, Oct. 26",1747-10-26,,London
534-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Munich, Nov. 11 / 22",1747-11-11,,Munich
535-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Lintz, Nov. 28 / Dec. 9",1747-11-28,,Lintz
535-001,william-morden,,,"Munich, Nov. 21 / Dec. 2.",1747-11-21,,Munich
535-002,robert-lovelace,,,"Vienna, Nov. 25 / Dec. 6.",1747-11-25,,Vienna
536-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Trent, Dec. 3 / 14",1747-12-03,,Trent
537-000,fj-de-la-tour,,Translation of a Letter from F. J. de la Tour,"Near Soho-square, London. Trent, Dec. 18, N.S.",1747-12-18,,"Near Soho-square, London"
