"id","date","from","to"
"173.01","1747-04-13","william-morden",
"174.00","1747-05-07","clarissa-harlowe","annabella-howe"
"175.00","1747-05-09","robert-lovelace","john-belford"
"176.00","1747-05-09","clarissa-harlowe","annabella-howe"
"177.00","1747-05-10","annabella-howe","clarissa-harlowe"
"178.00","1747-05-12","clarissa-harlowe","annabella-howe"
"179.00","1747-05-11","annabella-howe","judith-norton"
"180.00","1747-05-13","judith-norton","annabella-howe"
"181.00","1747-05-13","annabella-howe","judith-norton"
"182.00","1747-05-13","charlotte-harlowe","judith-norton"
"183.00","1747-05-14","annabella-howe","clarissa-harlowe"
"184.00","1747-05-15","clarissa-harlowe","annabella-howe"
"185.00","1747-05-16","clarissa-harlowe","annabella-howe"
"186.00","1747-05-16","clarissa-harlowe","annabella-howe"
"186.01",,,
"187.00","1747-05-17","clarissa-harlowe","annabella-howe"
"188.00","1747-05-18","annabella-howe","clarissa-harlowe"
"189.00","1747-05-17","john-belford","robert-lovelace"
"190.00","1747-05-15","lord-montague","john-belford"
"191.00","1747-05-19","robert-lovelace","john-belford"
"191.01",,"robert-lovelace",
"192.00","1747-05-20","john-belford","robert-lovelace"
"193.00","1747-05-20","robert-lovelace","john-belford"
"194.00",,"robert-lovelace","john-belford"
"195.00","1747-05-19","clarissa-harlowe","annabella-howe"
"196.00","1747-05-20","annabella-howe","clarissa-harlowe"
"197.00","1747-05-20","annabella-howe","clarissa-harlowe"
"197.01","1747-05-15","antony-harlowe",
"198.00","1747-05-21","robert-lovelace","john-belford"
"199.00",,"robert-lovelace","john-belford"
"200.00","1747-05-21","clarissa-harlowe","annabella-howe"
"201.00","1747-05-22","robert-lovelace","john-belford"
"202.00","1747-05-23","robert-lovelace","john-belford"
"202.01",,"clarissa-harlowe","robert-lovelace"
"203.00","1747-05-23","robert-lovelace","john-belford"
"203.01","1747-05-22","charlotte-montague",
"204.00","1747-05-24","robert-lovelace","john-belford"
"205.00","1747-05-24","robert-lovelace","john-belford"
"206.00","1747-05-23","lord-montague","robert-lovelace"
"207.00","1747-05-25","robert-lovelace","john-belford"
"208.00",,"robert-lovelace","john-belford"
"209.00",,"robert-lovelace","john-belford"
"210.00",,"robert-lovelace","john-belford"
"211.00","1747-05-27","robert-lovelace","john-belford"
"212.00","1747-05-27","clarissa-harlowe","annabella-howe"
"213.00",,"robert-lovelace","john-belford"
"214.00","1747-05-28","robert-lovelace","john-belford"
"215.00",,"robert-lovelace","john-belford"
"216.00","1747-05-29","robert-lovelace","john-belford"
"217.00",,"clarissa-harlowe","john-belford"
"218.00","1747-05-30","robert-lovelace","john-belford"
"219.00","1747-06-02","robert-lovelace","john-belford"
"220.00","1747-06-05","robert-lovelace","john-belford"
"221.00","1747-06-05","robert-lovelace","john-belford"
"222.00","1747-06-06","john-belford","robert-lovelace"
"223.00","1747-06-06","robert-lovelace","john-belford"
"224.00","1747-06-07","robert-lovelace","john-belford"
"225.00","1747-06-08","robert-lovelace","john-belford"
"226.00","1747-06-08","robert-lovelace","john-belford"
"226.01",,"clarissa-harlowe",
"227.00","1747-06-08","robert-lovelace","john-belford"
"227.01",,"robert-lovelace","mrs-lovelace"
"227.02",,,"robert-lovelace"
"227.03",,"robert-lovelace","mrs-lovelace"
"227.04",,,"robert-lovelace"
"227.05",,"robert-lovelace","mrs-lovelace"
"228.00","1747-06-08","robert-lovelace","john-belford"
"229.00",,"robert-lovelace","john-belford"
"229.01",,"annabella-howe","laetitia-beaumont"
"229.02",,"clarissa-harlowe","annabella-howe"
"230.00","1747-06-08","clarissa-harlowe","annabella-howe"
"231.00","1747-06-09","robert-lovelace","john-belford"
"231.01",,"william-summers",
"231.02","1747-06-08","clarissa-harlowe",
"231.03","1747-06-08","clarissa-harlowe",
"232.00","1747-06-09","robert-lovelace","john-belford"
"233.00","1747-06-09","robert-lovelace","john-belford"
"233.01","1747-06-07","antony-tomnlinson","robert-lovelace"
"233.02","1747-06-07","elizabeth-lawrance","robert-lovelace"
"233.03",,"charlotte-montague","robert-lovelace"
"233.04","1747-06-07",,"robert-lovelace"
"234.00",,"robert-lovelace","john-belford"
"235.00",,"robert-lovelace","john-belford"
"236.00",,,
"237.00",,,
"238.00",,,
"238.01",,"annabella-howe",
"239.00",,,
"239.01",,"annabella-howe",
"240.00","1747-06-10","robert-lovelace","john-belford"
"240.01","1747-06-06","clarissa-harlowe",
"241.00","1747-06-10","robert-lovelace","john-belford"
"242.00",,"robert-lovelace","john-belford"
"243.00","1747-06-10","robert-lovelace","john-belford"
"244.00",,,
"245.00",,"robert-lovelace","john-belford"
"246.00","1747-06-10","robert-lovelace","john-belford"
"247.00","1747-06-11","robert-lovelace","john-belford"
"248.00","1747-06-11","robert-lovelace","john-belford"
"249.00","1747-06-11","robert-lovelace","john-belford"
"250.00","1747-06-11","robert-lovelace","john-belford"
"251.00",,,
"252.00",,"robert-lovelace","john-belford"
"252.01","1747-06-10","annabella-howe","harriot-lucas"
"253.00",,"robert-lovelace","john-belford"
"254.00","1747-06-12","robert-lovelace","john-belford"
"255.00","1747-06-12","robert-lovelace","john-belford"
"256.00","1747-06-12","robert-lovelace","john-belford"
"256.01","1747-06-12","elizabeth-lawrance","robert-lovelace"
"257.00","1747-06-13","robert-lovelace","john-belford"
"258.00","1747-01-14","john-belford","robert-lovelace"
"259.00","1747-06-15","robert-lovelace","john-belford"
"260.00",,"robert-lovelace","john-belford"
"261.00","1747-06-16","robert-lovelace","john-belford"
"261.01",,,"clarissa-harlowe"
"261.02",,,
"261.03",,,
"261.04",,,
"261.05",,,
"261.06",,,
"261.07",,,
"261.08",,,
"261.09",,,
"261.10",,,
"261.11",,"clarissa-harlowe",
"262.00","1747-06-18","robert-lovelace","john-belford"
"263.00","1747-06-18","robert-lovelace","john-belford"
"264.00","1747-06-19","robert-lovelace","john-belford"
"265.00","1747-06-19","robert-lovelace","john-belford"
"266.00","1747-06-19","robert-lovelace","john-belford"
"267.00","1747-06-19","robert-lovelace","john-belford"
"268.00","1747-06-19","robert-lovelace","john-belford"
"269.00","1747-06-20","robert-lovelace","john-belford"
"269.01","1747-06-19","clarissa-harlowe",
"270.00","1747-06-20","robert-lovelace","john-belford"
"271.00","1747-06-20","robert-lovelace","john-belford"
"272.00","1747-06-20","robert-lovelace","john-belford"
"272.01","1747-06-19","antony-tomnlinson","robert-lovelace"
"273.00","1747-06-21","robert-lovelace","john-belford"
"274.00","1747-06-21","robert-lovelace","john-belford"
"275.00","1747-06-21","robert-lovelace","john-belford"
"275.01","1747-06-20","annabella-howe",
"276.00","1747-06-22","robert-lovelace","john-belford"
"277.00","1747-06-22","robert-lovelace","john-belford"
"278.00","1747-06-23","robert-lovelace","john-belford"
"279.00","1747-06-23","robert-lovelace","john-belford"
"280.00","1747-06-23","robert-lovelace","john-belford"
"281.00","1747-06-23","robert-lovelace","john-belford"
"282.00","1747-06-24","robert-lovelace","clarissa-harlowe"
"283.00","1747-06-25","robert-lovelace","clarissa-harlowe"
"284.00","1747-06-26","robert-lovelace","clarissa-harlowe"
"285.00","1747-06-26","robert-lovelace","john-belford"
"286.00","1747-06-27","john-belford","robert-lovelace"
"287.00","1747-06-27","robert-lovelace","john-belford"
"288.00","1747-06-28","robert-lovelace","clarissa-harlowe"
"289.00","1747-06-28","robert-lovelace","patrick-mcdonald"
"290.00","1747-06-27","robert-lovelace","antony-tomlinson"
"291.00","1747-06-28","patrick-mcdonald","robert-lovelace"
"292.00","1747-06-28","richard-mowbray","robert-lovelace"
"293.00","1747-06-29","john-belford","robert-lovelace"
"294.00","1747-06-30","robert-lovelace","john-belford"
"295.00","1747-06-28","clarissa-harlowe","annabella-howe"
"296.00","1747-06-30","anabella-howe","clarissa-harlowe"
"297.00","1747-07-01","clarissa-harlowe","annabella-howe"
"298.00","1747-06-29","clarissa-harlowe",
"299.00","1747-07-03","hannah-burton",
"300.00","1747-06-29","clarissa-harlowe","judith-norton"
"301.00","1747-07-01","judith-norton","clarissa-harlowe"
"302.00","1747-06-29","clarissa-harlowe","elizabeth-lawrance"
"303.00","1747-07-01","elizabeth-lawrance","clarissa-harlowe"
"304.00","1747-06-22","clarissa-harlowe","sarah-hodges"
"305.00","1747-07-02","sarah-hodges","clarissa-harlowe"
"306.00","1747-07-03","clarissa-harlowe","elizabeth-lawrance"
"307.00","1747-07-02","clarissa-harlowe","judith-norton"
"308.00","1747-07-03","judith-norton","clarissa-harlowe"
"309.00","1747-07-06","clarissa-harlowe","judith-norton"
"310.00","1747-07-05","annabella-howe","clarissa-harlowe"
"311.00","1747-07-06","clarissa-harlowe","annabella-howe"
"312.00","1747-07-06","clarissa-harlowe","annabella-howe"
"313.00",,"annabella-howe","clarissa-harlowe"
"314.00",,"clarissa-harlowe","annabella-howe"
"315.00",,"clarissa-harlowe",
"316.00","1747-07-09","annabella-howe","clarissa-harlowe"
"317.00","1747-07-10","annabella-howe","clarissa-harlowe"
"318.00","1747-07-11","clarissa-harlowe","annabella-howe"
"319.00","1747-07-12","annabella-howe","clarissa-harlowe"
"320.00","1747-07-13","clarissa-harlowe","annabella-howe"
"321.00","1747-07-07","robert-lovelace","john-belford"
"322.00","1747-07-08","robert-lovelace","john-belford"
"323.00","1747-07-09","robert-lovelace","john-belford"
"324.00",,"robert-lovelace",
"325.00",,"robert-lovelace",
"326.00","1747-07-12","robert-lovelace","john-belford"
"327.00","1747-07-13","annabella-howe","clarissa-harlowe"
"328.00","1747-07-16","annabella-howe","clarissa-harlowe"
"329.00","1747-07-18","annabella-howe","charlotte-montague"
"330.00","1747-06-15","robert-lovelace","john-belford"
"331.00","1747-07-18","charlotte-montague",
"332.00","1747-07-18","charlotte-montague","annabella-howe"
"333.00","1747-07-16","john-belford","robert-lovelace"
"334.00","1747-07-17","john-belford","robert-lovelace"
"335.00","1747-07-17","robert-lovelace","john-belford"
"336.00","1747-07-17","john-belford","robert-lovelace"
"337.00","1747-07-18","john-belford","robert-lovelace"
"338.00","1747-07-18","john-belford","robert-lovelace"
"339.00","1747-07-18","john-belford","robert-lovelace"
"340.00","1747-07-19","john-belford","robert-lovelace"
"341.00","1747-07-19","robert-lovelace","john-belford"
"342.00","1747-06-20","annabella-howe","clarissa-harlowe"
"343.00","1747-06-20","clarissa-harlowe","annabella-howe"
"344.00","1747-07-20","john-belford","robert-lovelace"
"345.00","1747-07-20","john-belford","robert-lovelace"
"346.00","1747-07-21","robert-lovelace","john-belford"
"347.00","1747-07-21","robert-lovelace","john-belford"
"348.00","1747-07-21","john-belford","robert-lovelace"
"349.00",,"john-belford",
"350.00","1747-07-22","robert-lovelace","john-belford"
"351.00","1747-07-20","annabella-howe","arabella-harlowe"
"352.00","1747-07-20","arabella-harlowe",
"353.00","1747-07-21","annabella-howe",
"354.00","1747-07-21","arabella-harlowe","annabella-howe"
"355.00","1747-07-22","annabella-howe","arabella-harlowe"
"356.00","1747-07-22","charlotte-harlowe","annabella-howe"
"357.00","1747-07-22","annabella-howe",
"358.00","1747-07-22","annabella-howe","clarissa-harlowe"
"359.00","1747-07-23","clarissa-harlowe","annabella-howe"
"360.00","1747-07-23","clarissa-harlowe","annabella-howe"
"361.00","1747-07-24","judith-norton","clarissa-harlowe"
"362.00","1747-07-24","clarissa-harlowe","judith-norton"
"363.00","1747-07-21","clarissa-harlowe","arabella-harlowe"
"364.00","1747-07-24","john-belford","robert-lovelace"
"365.00","1747-07-26","john-belford","robert-lovelace"
"366.00","1747-07-27","john-belford","robert-lovelace"
"367.00","1747-07-25","annabella-howe","clarissa-harlowe"
"368.00","1747-07-27","clarissa-harlowe","annabella-howe"
"369.00","1747-07-27","clarissa-harlowe","annabella-howe"
"370.00","1747-07-28","robert-lovelace","john-belford"
"371.00",,"robert-lovelace","john-belford"
"372.00","1747-07-28","annabella-howe","clarissa-harlowe"
"373.00","1747-07-29","annabella-howe",
"374.00","1747-07-28","judith-norton","clarissa-harlowe"
"375.00","1747-07-28","judith-norton","charlotte-harlowe"
"376.00","1747-07-30","charlotte-harlowe","judith-norton"
"377.00","1747-07-29","clarissa-harlowe","judith-norton"
"378.00","1747-07-27","arabella-harlowe","clarissa-harlowe"
"379.00","1747-07-30","clarissa-harlowe","annabella-howe"
"380.00","1747-07-29","clarissa-harlowe",
"381.00","1747-07-31","judith-norton","clarissa-harlowe"
"382.00","1747-08-02","clarissa-harlowe","judith-norton"
"383.00","1747-08-01","robert-lovelace","john-belford"
"384.00","1747-08-01","charlotte-montague","clarissa-harlowe"
"385.00","1747-08-03","john-belford","robert-lovelace"
"386.00","1747-08-03","clarissa-harlowe","charlotte-montague"
"387.00","1747-08-03","john-belford","robert-lovelace"
"387.01","1747-08-03","clarissa-harlowe","john-belford"
